Date,Adherence3,Adherence6,Adherence12,APD,Location
4/2/2020,0.9777,0.9455,0.8758,2.05,All Locations
4/15/2020,0.9767,0.9448,0.8863,1.27,All Locations
5/13/2020,0.9751,0.9370,0.8686,1.41,All Locations
5/27/2020,0.9721,0.9269,0.8366,1.88,All Locations
6/18/2020,0.9670,0.9204,0.8238,2.28,All Locations
6/24/2020,0.9778,0.9336,0.8494,1.81,All Locations
7/16/2020,0.9708,0.9160,0.8241,2.11,All Locations
7/30/2020,0.9685,0.9132,0.8148,2.43,All Locations
8/13/2020,0.9763,0.9277,0.8340,2.3,All Locations
8/27/2020,0.9766,0.9289,0.8401,1.92,All Locations
9/10/2020,0.9765,0.9231,0.8210,2.2,All Locations
9/24/2020,0.9706,0.9103,0.8005,3.05,All Locations
10/8/2020,0.9734,0.9202,0.8301,1.96,All Locations
10/22/2020,0.9673,0.8930,0.7666,3.31,All Locations
11/5/2020,0.9719,0.9125,0.8117,2.27,All Locations
11/19/2020,0.9742,0.9227,0.8351,2.13,All Locations
12/3/2020,0.9741,0.9301,0.8591,1.67,All Locations
1/7/2021,0.9749,0.9278,0.8475,1.65,All Locations
1/21/2021,0.9707,0.9146,0.8154,2.28,All Locations
2/4/2021,0.9830,0.9523,0.9018,1.09,All Locations
2/18/2021,0.9808,0.9500,0.9032,1.23,All Locations
