Date,APD,25P,75P,MPD,Adherence3,Adherence6,Adherence12,Location
4/15/2020,1.398957498,0,2,10,0.974365143,0.925548936,0.842812273,2 Ave @ 23St
5/13/2020,1.462660646,0,2,11,0.979628393,0.937488641,0.836720903,2 Ave @ 23St
5/27/2020,1.579166667,0,3,12,0.980402863,0.930952005,0.830410053,2 Ave @ 23St
6/18/2020,1.445950643,0,2,13,0.982102359,0.941020251,0.852581482,2 Ave @ 23St
6/24/2020,1.230208333,0,2,10,0.989596561,0.947225805,0.867992725,2 Ave @ 23St
8/13/2020,1.32209868,0,2,11,0.986073356,0.950348441,0.889748322,2 Ave @ 23St
8/27/2020,1.239930556,0,2,10,0.983876488,0.949888117,0.885095899,2 Ave @ 23St
9/10/2020,1.069109948,0,2,10,0.98590238,0.956871936,0.908229591,2 Ave @ 23St
9/24/2020,2.080902778,0,3,13,0.980105325,0.926210996,0.838535706,2 Ave @ 23St
11/5/2020,4.779166667,3,6,14,0.943220899,0.800755714,0.558816635,2 Ave @ 23St
11/19/2020,1.508333333,0,2,9,0.949983466,0.889219577,0.787222222,2 Ave @ 23St
12/3/2020,1.722916667,0,3,8,0.969131944,0.920813492,0.817797619,2 Ave @ 23St
1/7/2021,2.985416667,1,4,12,0.950826569,0.848665825,0.686392496,2 Ave @ 23St
1/21/2021,3.066666667,1,4,12,0.952723365,0.842265512,0.692170064,2 Ave @ 23St
2/4/2021,1.716666667,0,2,12,0.99088925,0.934138859,0.843710317,2 Ave @ 23St
2/18/2021,0.870833333,0,1,6,0.987430556,0.963263889,0.917708333,2 Ave @ 23St
4/2/2020,2.75625,1,4,11,0.978929022,0.943862885,0.842323984,2 Ave @ E 14 St
4/15/2020,1.648793566,0,2,6,0.944235925,0.897855228,0.831099196,2 Ave @ E 14 St
5/13/2020,2.09832636,1,3,8,0.93285515,0.882162781,0.784887428,2 Ave @ E 14 St
5/27/2020,3.150627615,2,4,12,0.945958841,0.885275348,0.76457839,2 Ave @ E 14 St
6/18/2020,4.4360587,3,6,13,0.967612332,0.924048989,0.781553166,2 Ave @ E 14 St
6/24/2020,3.035416667,2,4,10,0.966059854,0.917620701,0.798382937,2 Ave @ E 14 St
7/16/2020,3.583333333,2,5,11,0.960128968,0.90691333,0.776124038,2 Ave @ E 14 St
7/30/2020,4.204166667,2,6,14,0.96924839,0.920087944,0.783298368,2 Ave @ E 14 St
8/13/2020,4.689583333,3,6,13,0.978682301,0.912722798,0.76015177,2 Ave @ E 14 St
8/27/2020,3.93125,3,5,14,0.976091524,0.926268708,0.777865075,2 Ave @ E 14 St
9/10/2020,4.6625,3,6,12,0.975993567,0.913481542,0.741755201,2 Ave @ E 14 St
9/24/2020,3.64375,2,5,14,0.973804332,0.912131272,0.787641282,2 Ave @ E 14 St
10/8/2020,2.04375,1,3,8,0.972197421,0.902142857,0.808774802,2 Ave @ E 14 St
10/22/2020,4.304166667,3,6,14,0.969643112,0.903738333,0.793952679,2 Ave @ E 14 St
11/5/2020,1.985416667,0,3,11,0.98432209,0.944337422,0.853018278,2 Ave @ E 14 St
11/19/2020,2.31875,0,3,16,0.983214858,0.94976642,0.824807872,2 Ave @ E 14 St
12/3/2020,1.522916667,0,2,10,0.959341931,0.927137897,0.863574735,2 Ave @ E 14 St
1/7/2021,0.8125,0,1,9,0.994178241,0.986856812,0.95015873,2 Ave @ E 14 St
1/21/2021,1.727083333,0,3,7,0.982797619,0.948571429,0.83827381,2 Ave @ E 14 St
2/4/2021,1.395833333,0,2,7,0.989384921,0.951488095,0.870287698,2 Ave @ E 14 St
2/18/2021,1.820833333,1,3,8,0.963055556,0.909434524,0.810947421,2 Ave @ E 14 St
4/2/2020,1.6125,0,2,8,0.981542659,0.942132937,0.870079365,3 Ave @ 42 St
